scenario,gauge,planningUnit,state,sWSDLName,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs_LowerDarling_20250516,425020,Lake Wetherall,NSW,Lower Darling,HLLF,,24.0,38,40,38.0,0.59375,38.0,38.0,0.59375,0.59375,81.97368421052632,3115.0,4,6453.0,22996.0
hydrographs_LowerDarling_20250516,425020,Lake Wetherall,NSW,Lower Darling,LLLF,,40.0,62,90,45.0,0.703125,45.0,45.0,0.703125,0.703125,2401.222222222222,108055.0,0.39726,6453.0,22996.0
hydrographs_LowerDarling_20250516,425020,Lake Wetherall,NSW,Lower Darling,MLLF,,37.0,58,75,71.0,1.109375,71.0,71.0,1.109375,1.109375,147.45070422535213,10469.0,4,6453.0,22996.0
hydrographs_LowerDarling_20250516,425022,Menindee Lakes,NSW,Lower Darling,HLLF,,16.0,25,15,16.0,0.25,16.0,16.0,0.25,0.25,373.0625,5969.0,8,2314.0,22996.0
hydrographs_LowerDarling_20250516,425022,Menindee Lakes,NSW,Lower Darling,LLLF,,44.0,69,70,47.0,0.734375,47.0,47.0,0.734375,0.734375,1335.063829787234,62748.0,2,2314.0,22996.0
hydrographs_LowerDarling_20250516,425022,Menindee Lakes,NSW,Lower Darling,MLLF,,41.0,64,40,42.0,0.65625,42.0,42.0,0.65625,0.65625,1225.7380952380952,51481.0,4,2314.0,22996.0
hydrographs_LowerDarling_20250516,425022,Menindee Lakes,NSW,Lower Darling,VHLL,,5.0,8,10,5.0,0.078125,5.0,5.0,0.078125,0.078125,257.2,1286.0,10,2314.0,22996.0
hydrographs_LowerDarling_20250516,425023,Menindee Lakes,NSW,Lower Darling,HLLF,,16.0,25,15,16.0,0.25,16.0,16.0,0.25,0.25,407.5,6520.0,8,6250.0,22996.0
hydrographs_LowerDarling_20250516,425023,Menindee Lakes,NSW,Lower Darling,LLLF,,38.0,59,70,38.0,0.59375,38.0,38.0,0.59375,0.59375,1987.4736842105262,75524.0,7,6250.0,22996.0
hydrographs_LowerDarling_20250516,425023,Menindee Lakes,NSW,Lower Darling,MLLF,,38.0,59,40,38.0,0.59375,38.0,38.0,0.59375,0.59375,1937.157894736842,73612.0,7,6250.0,22996.0
hydrographs_LowerDarling_20250516,425023,Menindee Lakes,NSW,Lower Darling,VHLL,,6.0,9,10,6.0,0.09375,6.0,6.0,0.09375,0.09375,269.8333333333333,1619.0,10,6250.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BF1_a,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BF1_b,,0.0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BK1_P,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,BK1_S,,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,LF1,,0.0,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,LF2,,0.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,78.0,22996.0
hydrographs_LowerDarling_20250516,A4260505,Murray River - Lock 9 to Lock 7,NSW,Lower Darling,NestS1,,0.0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,78.0,22996.0
